id,ad,detay,adres,satin_alma_fiyati,para_birimi,baslangic_tarihi,bitis_tarihi,olusturma_tarihi,guncelleme_tarihi
08427f5f-dfec-45f2-92a2-832be42ffddf,GOP - 4 - Sag Buyuk,Sag Buyuk,GOP 43-45/4,1275000.00,USD,2017-01-01,9999-12-31,2026-03-18 19:22:29.780409+00,2026-03-22 17:38:37.168173+00
7425ca74-4f92-4f6f-ab72-b552d49250f8,GOP - 3 - Sag Kucuk,Sag Kucuk,GOP 43-45/3,850000.00,USD,2017-01-01,9999-12-31,2026-03-18 19:21:52.369519+00,2026-03-22 17:38:30.307861+00
8284e62b-0383-4d54-85ea-deef3cf7bb5e,GOP - 1 - Sol Buyuk,Sol Buyuk,GOP 43-45/1,1275000.00,USD,2017-01-01,9999-12-31,2026-03-18 19:19:51.749432+00,2026-03-22 17:38:13.005197+00
e780326a-3bf9-44f3-aacc-018e8909d2d3,GOP - 2 - Sol Kucuk,Sol Kucuk,GOP 43-45/2,850000.00,USD,2017-01-01,9999-12-31,2026-03-18 19:20:43.70309+00,2026-03-22 17:38:21.486642+00
